question_id,pt,section_num,section_type,question_num,passage_id,stem,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,skills
pt1_s1_q11,1,1,RC,11,pt1_s1_p2,It can be inferred from the passage that in the late nineteenth century the debate over the structural nature of protoplasm (lines 25–29) was most likely carried on,among cytologists,among biochemists,between cytologists and biochemists,between cytologists and geneticists,between biochemists and geneticists,A,inference
pt1_s1_q12,1,1,RC,12,pt1_s1_p2,"According to the passage, cytologists in the late nineteenth century were critical of the cell research of biochemists because cytologists believed that",the methods of biochemistry were inadequate to account for all of the chemical reactions that occurred in cytological preparations,the methods of biochemistry could not adequately discover and explain the structures of living cells,biochemists were not interested in the nature of protoplasm,biochemists were not interested in cell division,biochemists were too ignorant of cytology to understand the basic processes of the cell,B,detail_function
pt1_s1_q13,1,1,RC,13,pt1_s1_p2,The author quotes Fruton (lines 62–64) primarily in order to,restate the author’s own conclusions,provide new evidence about the relationship of cytology to biochemistry,summarize the position of the biochemists described in the passage,illustrate the difficulties encountered in the synthesis of disciplines,emphasize the ascendancy of the theories of biochemists over those of cytologists,A,detail_function
pt1_s1_q14,1,1,RC,14,pt1_s1_p2,Which one of the following inferences about when the enzyme theory of life was formulated can be drawn from the passage?,The theory was formulated before the appearance of molecular biology.,The theory was formulated before the initial discovery of cell architecture.,The theory was formulated after the completion of chromosome mapping.,The theory was formulated after a synthesis of the ideas of cytologists and biochemists had occurred.,The theory was formulated at the same time as the beginning of the debate over the nature of protoplasm.,A,inference
pt1_s1_q15,1,1,RC,15,pt1_s1_p2,Which one of the following statements about cells is most compatible with the views of late nineteenth- century biochemists as those views are described in the passage?,The secret of cell function resides in the structure of the cell.,Only by discovering the chemical composition of protoplasm can the processes of the cell be understood.,Scientific knowledge about the chemical composition of the cell can help to explain behavioral patterns in organisms.,The most important issue to be resolved with regard to the cell is determining the physical characteristics of protoplasm.,The methods of chemistry must be supplemented before a full account of the cell’s structures can be made.,B,inference
pt1_s1_q16,1,1,RC,16,pt1_s1_p2,Which one of the following best describes the organization of the material presented in the passage?,"An account of a process is given, and then the reason for its occurrence is stated.","A set of examples is provided, and then a conclusion is drawn from them.","A general proposition is stated, and then an example is given.","A statement of principles is made, and then a rationale for them is debated.","A problem is analyzed, and then a possible solution is discussed.",C,detail_function
pt1_s1_q17,1,1,RC,17,pt1_s1_p3,It can be inferred from the passage that the crucial factor in a trial under the adversarial system is,rules of legality,dramatic reenactment of the crime,the search for relevant facts,the victim’s personal pursuit of revenge,police testimony about the crime,A,inference
pt1_s1_q18,1,1,RC,18,pt1_s1_p3,The author sees the judge’s primary role in a trial under the inquisitorial system as that of,passive observer,biased referee,uninvolved administrator,aggressive investigator,involved manager,E,detail_function
pt1_s1_q19,1,1,RC,19,pt1_s1_p3,"According to the passage, a central distinction between the system of private vengeance and the two modern criminal procedure systems was the shift in responsibility for initiating legal action against a criminal from the",defendant to the courts,victim to society,defendant to the prosecutor,courts to a law enforcement agency,victim to the judge,B,detail_function
pt1_s1_q20,1,1,RC,20,pt1_s1_p3,All of the following are characteristics of the inquisitorial system that the author cites EXCEPT:,It is based on cooperation rather than conflict.,It encourages full disclosure of evidence.,It requires that the judge play an active role in the conduct of the trial.,It places the defendant in charge of his or her defense.,It favors the innocent.,D,inference
pt1_s1_q21,1,1,RC,21,pt1_s1_p3,The author’s attitude toward the inquisitorial system can best be described as,doubtful that its judges can be both directive and protective,satisfied that it has potential for uncovering the relevant facts in a case,optimistic that it will replace the adversarial system,wary about its down playing of legal rules,critical of its close relationship with the private vengeance system,B,authors_voice
pt1_s1_q22,1,1,RC,22,pt1_s1_p4,"According to the author, which one of the following is required in order that one be a professional?",significant prestige and a title,“know-how”in a particular field,a long and difficult educational endeavor,a commitment to political justice,a public confession of devotion to a way of life,E,detail_function
pt1_s1_q23,1,1,RC,23,pt1_s1_p4,Which one of the following best expresses the main point made by the author in the passage?,Medicine is defined as a profession because of the etymology of the word“profession.”,It is a mistake to pay special honor to the knowledge and skills of physicians.,The work of physicians is under attack only because it is widely misunderstood.,The correct reason that physicians are professionals is that their work involves public commitment to a high good.,Physicians have been encouraged to think of themselves as technicians and need to reorient themselves toward ethical concerns.,D,main_point
pt1_s1_q24,1,1,RC,24,pt1_s1_p4,The question posed by the author in lines 7–10 of the passage introduces which one of the following?,the author’s belief that it is futile to resist the trend toward defining the physician’s work as a trade,the author’s dislike of governmental regulation and consumer advocacy,the author’s inquiry into the nature of the practice of medicine,the author’s suggestions for rallying sensible people to a concentrated defense of physicians,the author’s fascination with the origins of words,C,inference
pt1_s1_q25,1,1,RC,25,pt1_s1_p4,"In the passage, the author mentions or suggests all of the following EXCEPT",how society generally treats physicians,that the practice of medicine is analogous to teaching,that being a professional is in part a public act,the specific knowledge on which trades are based,how a livelihood is different from a profession,D,inference
pt1_s1_q26,1,1,RC,26,pt1_s1_p4,The author’s attitude towards professionals is best described as,"eager that the work of one group of professionals, physicians, be viewed from a new perspective",sympathetic toward professionals who have become demoralized by public opinion,surprised that professionals have been balked by governmental regulations and threats of litigation,dismayed that most professionals have come to be considered technicians,certain that professionals confess a commitment to ethical ideals,E,authors_voice
pt1_s1_q27,1,1,RC,27,pt1_s1_p4,"Based on the information in the passage, it can be inferred that which one of the following would most logically begin a paragraph immediately following the passage?",A skilled handicraft is a manual art acquired by habituation that enables tradespeople to tread regularly and reliably along the same path.,"Critics might argue that being a doctor, for example, requires no ethical or public act; thus medicine, as such, is morally neutral, does not bind character, and can be used for good or ill.","Sometimes the pursuit of personal health competes with the pursuit of other goods, and it has always been the task of the community to order and define the competing ends.",Not least among the myriad confusions and uncertainties of our time are those attending efforts to discern and articulate the essential characteristics of the medical profession.,"When, in contrast, we come to physicians of the whole body, we come tacitly acknowledging the meaning of illness and its potential threat to all that we hold dear.",B,inference
pt1_s1_q28,1,1,RC,28,pt1_s1_p4,Which one of the following best describes the author’s purpose in lines 18–42 of the passage?,The author locates the“something else”that truly constitutes a profession.,The author dismisses efforts to redefine the meaning of the term“profession.”,"The author considers, and largely criticizes, several definitions of what constitutes a profession.",The author clarifies the meaning of the term “profession”by advocating a return to its linguistic and historical roots.,"The author distinguishes trades such as plumbing and auto repair from professions such as medicine, law, and theology.",C,detail_function
pt1_s2_q1,1,2,LG,1,pt1_s2_p1,Which one of the following seating arrangements of the six representatives in chairs 1 through 6 would NOT violate the stated conditions?,"Klosnik, Poirier, Neri, Manley, Osata, Londi","Klosnik, Londi, Manley, Poirier, Neri, Osata","Klosnik, Londi, Manley, Osata, Poirier, Neri","Klosnik, Osata, Poirier, Neri, Londi, Manley","Klosnik, Neri, Londi, Osata, Manley, Poirier",C,inference
pt1_s2_q2,1,2,LG,2,pt1_s2_p1,"If Londi sits immediately next to Poirier, which one of the following is a pair of representatives who must sit immediately next to each other?",Klosnik and Osata,Londi and Neri,Londi and Osata,Manley and Neri,Manley and Poirier,A,inference
pt1_s2_q3,1,2,LG,3,pt1_s2_p1,"If Klosnik sits directly between Londi and Poirier, then Manley must sit directly between",Londi and Neri,Londi and Osata,Neri and Osata,Neri and Poirier,Osata and Poirier,C,inference
pt1_s2_q4,1,2,LG,4,pt1_s2_p1,"If Neri sits immediately next to Manley, then Klosnik can sit directly between",Londi and Manley,Londi and Poirier,Neri and Osata,Neri and Poirier,Poirier and Osata,C,inference
pt1_s2_q5,1,2,LG,5,pt1_s2_p1,"If Londi sits immediately next to Manley, then which one of the following is a complete and accurate list of representatives any one of whom could also sit immediately next to Londi?",Klosnik,"Klosnik, Neri","Neri, Poirier","Klosnik, Osata, Poirier","Klosnik, Neri, Osata, Poirier",B,inference
pt1_s2_q6,1,2,LG,6,pt1_s2_p1,"If Londi sits immediately next to Neri, which one of the following statements must be false?",Klosnik sits immediately next to Osata.,Londi sits immediately next to Manley.,Osata sits immediately next to Poirier.,Neri sits directly between Londi and Poirier.,Osata sits directly between Klosnik and Manley.,D,inference
pt1_s2_q7,1,2,LG,7,pt1_s2_p1,"If Klosnik sits immediately next to Osata, then Londi CANNOT sit directly between",Klosnik and Manley,Klosnik and Neri,Manley and Neri,Manley and Poirier,Neri and Osata,D,inference
pt1_s2_q8,1,2,LG,8,pt1_s2_p3,"If the computer in office 3 was bought in an earlier year than the printer in office 3 was, then which one of the following statements could be true?",The computer in office 2 was bought in 1987.,The computer in office 2 was bought in 1988.,The computer in office 4 was bought in 1988.,The printer in office 4 was bought in 1988.,The printer in office 4 was bought in 1989.,C,inference
pt1_s2_q9,1,2,LG,9,pt1_s2_p3,Which one of the following statements could be true?,The printer in office 1 was bought in 1987.,The computer in office 2 was bought in 1987.,The computer in office 3 was bought in 1989.,The printer in office 4 was bought in 1988.,The printer in office 4 was bought in 1989.,E,inference
pt1_s2_q10,1,2,LG,10,pt1_s2_p3,"If as few of the eight machines as possible were bought in 1987, then what is the exact number of machines that were bought in 1987?",0,1,2,3,4,C,inference
pt1_s2_q11,1,2,LG,11,pt1_s2_p3,"If the computer in office 4 was bought in 1988, then which one of the following statements must be true?",The printer in office 1 was bought in 1988.,The printer in office 1 was bought in 1989.,The computer in office 2 was bought in 1988.,The computer in office 3 was bought in 1987.,The printer in office 4 was bought in 1989.,B,inference
pt1_s2_q12,1,2,LG,12,pt1_s2_p3,"If the computer in office 3 was bought in 1988, then which one of the following statements could be true?",The printer in office 1 was bought in 1988.,The computer in office 2 was bought in 1987.,The printer in office 2 was bought in 1988.,The computer in office 4 was bought in 1987.,The printer in office 4 was bought in 1989.,A,inference
pt1_s2_q13,1,2,LG,13,pt1_s2_p3,"Suppose that the computer in office 2 and the computer in office 3 had been bought in the same year as each other. If all of the other conditions remained the same, then which one of the following machines could have been bought in 1989?",the printer in office 1,the computer in office 2,the printer in office 2,the computer in office 4,the printer in office 4,B,inference
pt1_s2_q14,1,2,LG,14,pt1_s2_p4,Which one of the following CANNOT be true?,Hodges joined the law firm in 1961.,Hodges joined the law firm in 1963.,Gregg joined the law firm in 1964.,MacNeil joined the law firm in 1964.,Owens joined the law firm in 1964.,E,inference
pt1_s2_q15,1,2,LG,15,pt1_s2_p4,"If James joined the firm in 1962, which one of the following CANNOT be true?",Hodges joined the firm in 1963.,MacNeil joined the firm in 1963.,Hodges joined the firm in 1964.,Nader joined the firm in 1964.,Owens joined the firm in 1964.,E,inference
pt1_s2_q16,1,2,LG,16,pt1_s2_p4,"Of the following, which one is the latest year in which James could have joined the firm?",1962,1963,1964,1965,1966,A,inference
pt1_s2_q17,1,2,LG,17,pt1_s2_p4,"If Owens joined the firm in 1965 and MacNeil joined it in 1967, one can determine the years in which exactly how many of the other partners joined the firm?",1,2,3,4,5,B,inference
pt1_s2_q18,1,2,LG,18,pt1_s2_p4,"Assume that Owens joined the law firm before MacNeil. Of the following, which one is the earliest year in which MacNeil could have joined it?",1963,1964,1965,1966,1967,E,inference
pt1_s2_q19,1,2,LG,19,pt1_s2_p6,"If the line 3 tickets for January are red, then which one of the following statements must be true?",The line 1 tickets for January are green.,The line 1 tickets for January are yellow.,The line 1 tickets for February are red.,The line 2 tickets for February are yellow.,The line 3 tickets for February are green.,A,inference
pt1_s2_q20,1,2,LG,20,pt1_s2_p6,"If one set of the line 2 tickets is green, then which one of the following statements must be true?",The line 1 tickets for January are red.,The line 3 tickets for January are red.,The line 1 tickets for February are red.,The line 3 tickets for February are green.,The line 3 tickets for February are yellow.,D,inference
pt1_s2_q21,1,2,LG,21,pt1_s2_p6,Which one of the following statements could be true?,No January ticket is green.,No February ticket is green.,Only line 2 tickets are red.,One set of January tickets is green and one set of January tickets is yellow.,The line 2 tickets for January are the same color as the line 1 tickets for February.,D,inference
pt1_s2_q22,1,2,LG,22,pt1_s2_p6,Which one of the following statements could be true?,Both the line 1 tickets for January and the line 2 tickets for February are green.,Both the line 1 tickets for January and the line 2 tickets for February are yellow.,Both the line 1 tickets for January and the line 3 tickets for February are yellow.,"The line 1 tickets for January are green, and the line 3 tickets for February are red.","The line 3 tickets for January are yellow, and the line 1 tickets for February are red.",B,inference
pt1_s2_q23,1,2,LG,23,pt1_s2_p6,"If the line 3 tickets for February are yellow, then each of the following statements must be true EXCEPT:",One set of January tickets is green.,One set of line 1 tickets is red.,One set of line 2 tickets is red.,The tickets in two of the six sets are red.,The tickets in two of the six sets are yellow.,C,inference
pt1_s2_q24,1,2,LG,24,pt1_s2_p6,"Suppose that none of the ticket sets are purple. If all of the other conditions remain the same, then which one of the following statements could be true?",None of the January tickets are green.,None of the February tickets are green.,None of the line 2 tickets are green.,No line 1 or line 2 tickets are yellow.,No line 2 or line 3 tickets are red.,E,inference
pt1_s3_q1,1,3,LR,1,,"It is difficult to keep deep wounds free of bacteria. Even strong antibiotics fail to kill the bacteria that live in such wounds. However, many physicians have succeeded in eliminating bacteria from deep wounds by packing the wound with a sweet substance like sugar. Which one of the following, if true, most helps to explain why treating deep wounds with sugar as described above is successful?","Bacteria that live in deep wounds thrive in a moist environment, and sugar has a dehydrating effect.",Sugar that is nearly pure is readily available for use in medical treatments.,Many kinds of bacteria can use sugar as a nutrient and will reproduce rapidly when sugar is available to them.,Some foods that contain sugar can weaken the effects of certain antibiotics.,"Strong antibiotics were developed only recently, but the use of sugar as a treatment for wounds dates back to ancient times.",A,strengthen_weaken
pt1_s3_q2,1,3,LR,2,,People who are red/green color-blind cannot distinguish between green and brown. Gerald cannot distinguish between green and brown. Therefore Gerald is red/green color-blind. Which one of the following most closely parallels the reasoning in the argument presented in the passage?,People who are fair-skinned suffer from sunburn.William is fair-skinned. Therefore William suffers from sunburn.,People who are suffering from sinusitis lose their sense of smell. Mary has lost her sense of smell. Therefore Mary is suffering from sinusitis.,People who have suffered from jaundice cannot become blood donors. Jean is a blood donor. Therefore Jean has not suffered from jaundice.,People who are color-blind cannot become airline pilots.Arthur is color-blind. Therefore Arthur cannot become an airline pilot.,People who are diabetic cannot eat large amounts of sugar. Freda is diabetic. Therefore Freda is on a special diet.,B,principle_parallel
pt1_s3_q3,1,3,LR,3,,"Early in this century Alfred Wegener developed the concept of continental drift. His ideas were rejected vehemently because he postulated no identifiable force strong enough to make the continents move. We have come to accept Wegener’s theory, not because we have pinpointed such a force, but because new instruments have finally allowed continental movement to be confirmed by observation. The passage best illustrates which one of the following statements about science?",The aim of science is to define the manifold of nature within the terms of a single harmonious theory.,"In accepting a mathematical description of nature, science has become far more accurate at identifying underlying forces.",The paradox of science is that every improvement in its measuring instruments seems to make adequate theories harder to work out.,"Science, employing statistics and the laws of probability, is concerned not with the single event but with mass behavior.","When the events a theory postulates are detected, the theory is accepted even without an explanation of how those events are brought about.",E,inference
pt1_s3_q4,1,3,LR,4,,"The theory of military deterrence was based on a simple psychological truth, that fear of retaliation makes a would-be aggressor nation hesitate before attacking and is often sufficient to deter it altogether from attacking. Clearly, then, to maintain military deterrence, a nation would have to be believed to have retaliatory power so great that a potential aggressor nation would have reason to think that it could not defend itself against such retaliation. If the statements above are true, which one of the following can be properly inferred?",A would-be aggressor nation can be deterred from attacking only if it has certain knowledge that it would be destroyed in retaliation by the country it attacks.,A nation will not attack another nation if it believes that its own retaliatory power surpasses that of the other nation.,One nation’s failing to attack another establishes that the nation that fails to attack believes that it could not withstand a retaliatory attack from the other nation.,It is in the interests of a nation that seeks deterrence and has unsurpassed military power to let potential aggressors against it become aware of its power of retaliatory attack.,Maintaining maximum deterrence from aggression by other nations requires that a nation maintain a retaliatory force greater than that of any other nation.,D,inference
pt1_s3_q5,1,3,LR,5,,"To the Editor: In 1960, an astronomer proposed a mathematical model for determining whether extraterrestrial life exists. It was based on the assumptions that life as we know it could exist only on a planet and that many stars are, like our Sun, orbited by planets. On the basis that there are nine planets in our solar system and one of them has life as we know it, the astronomer predicted that there are as many as one million extraterrestrial civilizations across all solar systems.Yet astronomers to date have not detected even one planet outside our solar system. This indicates that the astronomer’s model is wrong, and life as we know it exists only on the planet Earth. Clay Moltz Which one of the following,if accepted by Clay Moltz, would require him to reconsider his conclusion?",Forms of life other than life as we know it exist on other planets.,There are many stars that are not orbited by planets.,Detecting planets outside our solar system requires more sophisticated instruments than are currently available.,The soundness of the conclusion reached by applying a mathematical model depends on the soundness of the assumptions on which the model is based.,"Due to sheer distances and expanses of space involved, any extraterrestrial civilization would have great difficulty communicating with ours.",C,strengthen_weaken
pt1_s3_q6,1,3,LR,6,,"If Max were guilty, he would not ask the police to investigate. Therefore, his asking the police to investigate shows that he is not guilty. The logical structure of the argument above is most similar to which one of the following?","If Lucille were in the next room,I would not be able to see her.Therefore,the fact that I can see her shows that she is not in the next room.","If Sam were rich,he would not spend his vacation inAlaska.Therefore,his spending his vacation in the Bahamas shows that he is rich.","If Joe were over 40 he would not want to learn to ski. Therefore, the fact that he does not want to learn to ski shows that he is over 40.","If Mark were a good cook, he would not put cinnamon in the chili. Therefore, the fact that he is not a good cook shows that he put cinnamon in the chili.","If Sally were sociable, she would not avoid her friends. Therefore, the fact that she is sociable shows that she does not avoid her friends.",A,principle_parallel
pt1_s3_q7,1,3,LR,7,,"A population of game ducks at a western lake contains 55 males to every 45 females, while a population of game ducks at an eastern lake contains 65 males for every 35 females.Among those ducks that have not yet bred there are only slightly more males than females, but among older ducks the number of males greatly exceeds the number of females. Because there are appreciably more males among adult ducks than among young ducks, we can infer that the greater the disparity in overall sex ratios, the greater the percentage of older male ducks in the population. Which one of the following can be inferred from the passage?",The population of game ducks at the western lake contains a lower percentage of adult males than the population at the eastern lake contains.,The population of game ducks at the eastern lake contains a higher percentage of nonadult game ducks than the population at the western lake contains.,The total number of male game ducks is higher in the eastern lake’s population than in the western lake’s population.,The number of nonadult ducks hatched in a breeding season is higher in the eastern lake’s population than in the western lake’s population.,Adult female game ducks outnumber nonadult female game ducks in the eastern lake’s population.,A,inference
pt1_s3_q8,1,3,LR,8,,"The common procedure for determining whether a food additive should be banned from use is to compare its health-related benefits with its potential risks.Yellow Dye No. 5, an additive used to color lemon soda, might cause allergic reactions in a few consumers. For most consumers of lemon soda, however, the coloring enhances their enjoyment of the beverage. This particular additive should not be banned, therefore, because its benefits greatly outweigh its risks. A flaw in the argument is that the author",implies that the dye entails no health-related risks,treats enjoyment of a beverage as a health-related benefit,ignores the possibility that some food additives are harmful to most people,bases the argument on an unproven claim regarding a danger in using Yellow Dye No. 5,presumes that most consumers heed the warning labels on beverage containers,B,flaw_method
pt1_s3_q9,1,3,LR,9,,"Fines levied against those responsible for certain environmentally damaging accidents are now so high that it costs a company responsible for such an accident more to pay the fine than it would have cost to adopt measures that would have prevented the accident. Therefore, since businesses value their profits, those that might have such accidents will now install adequate environmental safeguards. Which one of the following, if true, most seriously weakens the argument?",Businesses generally greatly underestimate the risk of future accidents.,Businesses are as concerned with long-term as they are with short-term strategies for maximizing profits.,Businesses generally do the environmentally “right”thing only if doing so makes good business sense.,Businesses treat fines that are levied against them as an ordinary business expense.,Businesses are learning to exploit the public’s environmental awareness in promoting themselves.,A,strengthen_weaken
pt1_s3_q10,1,3,LR,10,,"Even in a democracy, it is necessary to restrict the dissemination of advanced technological knowledge that is of commercial or national-security value. Dissemination to certain countries, those that are or will be competitors or enemies, should be selectively prohibited. There must, however, be free exchange of scientific information. In order to act in accordance with the position above, it would be necessary to be able to rely on each of the following EXCEPT:","It is possible to distinguish with confidence, despite any changes in the international environment, friendly or noncompetitive from hostile or competitive nations.","In a democracy, it is not necessary that the public have detailed knowledge of the country’s advanced technology in order, for example, to make informed decisions about the direction public policy should take.","In most fields of science, basic scientific research is further advanced in countries that are democracies than in countries that are not democracies.","In each field of science, it is possible to distinguish scientific information from advanced technological knowledge that is of commercial or national-security value.","In cases where a company that uses advanced technology is a multinational organization,it is possible to keep information about the technology from being passed across designated national boundaries.",C,inference
pt1_s3_q11,1,3,LR,11,,"Water vapor evaporated from the ocean contains a greater proportion of oxygen-16 and a smaller proportion of the heavier oxygen-18 than does seawater. Normally, this phenomenon has no effect on the overall composition of the ocean, because evaporated seawater returns to the ocean through precipitation. During an ice age, however, a large amount of precipitation falls on ice caps, where it is trapped as ice. Which one of the following conclusions about a typical ice age is most strongly supported by the statements above?",The proportions of oxygen-16 and oxygen-18 are the same in vapor from seawater as in the seawater itself.,The concentration of oxygen-18 in seawater is increased.,Rain and snow contain relatively more oxygen- 16 than they do in interglacial periods.,"During the ice age, more of the Earth’s precipitation falls over land than falls over the ocean.",The composition of seawater changes more slowly than it does in interglacial periods.,B,inference
pt1_s3_q12,1,3,LR,12,,"Some of the most prosperous nations in the world have experienced a pronounced drop in national savings rates—the percentage of after-tax income an average household saves. This trend will undoubtedly continue if the average age of these nations’ populations continues to rise, since older people have fewer reasons to save than do younger people. Which one of the following indicates an error in the reasoning leading to the prediction above?","It fails to specify the many reasons younger people have for saving money, and it fails to identify which of those reasons is the strongest.",It assumes that a negative savings rate—the result of the average household’s spending all of its after-tax income as well as some of its existing savings—cannot ever come about in any nation.,It fails to cite statistics showing that the average age of the population of certain nations is rising.,"It only takes into account the comparative number of reasons older and younger people, respectively, have for saving, and not the comparative strength of those reasons.",It uses after-tax income as the base for computing the national savings rate without establishing by argument that after-tax income is a more appropriate base than before-tax income.,D,flaw_method
pt1_s3_q13,1,3,LR,13,,"The term“pit bull”does not designate a breed of dog, as do the terms“German shepherd”and “poodle.”It is like the terms“Seeing-Eye dog”and “police dog,”which designate dogs according to what they do. If you take two German shepherds and place them side by side, you cannot tell by appearance alone which is the police dog and which is the Seeing-Eye dog. Which one of the following is the main point of the passage?",German shepherds can be pit bulls.,Pit bulls can be distinguished from other kinds of dogs by appearance alone.,"A dog is a pit bull because of what it does, not because of its breed.",German shepherds can function both as police dogs and as Seeing-Eye dogs.,Some breeds of dogs cannot be distinguished from other breeds of dogs by appearance alone.,C,main_point
pt1_s3_q14,1,3,LR,14,,"Historically, monetary systems have developed only in population centers with marketplaces. Through the fourth century B.C., Mesopotamian cities engaged in trade, but had never had marketplaces. By that period, however, Greek cities all had marketplaces, or agorae. The Greek cities’agorae were centrally located and goods were traded there either for money or for commodities. If all of the statements in the passage are true, then which one of the following must also be true?","In the fourth century B.C., Greek cities were the only population centers with monetary systems.",The development of monetary systems has historically led to the development of marketplaces.,"In the fourth century B.C., the Greeks and the Mesopotamians traded with each other.","After the fourth century B.C., Mesopotamian cities had marketplaces and monetary systems.","The Mesopotamian cities of the fourth century B.C. did not have monetary systems. Questions 15–16 Computer operating system software has become increasingly standardized. But when a large business with multiple, linked computer systems uses identical operating system software on all of its computers, a computer vandal who gains access to one computer automatically has access to the data on all the computers. Using a program known as a“virus,”the vandal can then destroy much of the data on all the computers. If such a business introduced minor variations into its operating system software, unauthorized access to all the computers at the same time could be virtually eliminated. Furthermore, variations in operating system software can be created without any loss of computer compatibility to the business. Therefore, it is advisable for businesses to implement such variations.",E,inference
pt1_s3_q15,1,3,LR,15,,"Which one of the following, if true, supports the conclusion in the passage?",Standardization of computer operating system software has increased computer compatibility among different businesses.,Correcting any damage resulting from an invasion by a computer virus program is more expensive than preventing the damage.,It is not costly for a business to maintain incompatible computer operating systems.,There are other kinds of destructive computer programs that do not depend on intercomputer links.,Not all businesses need to share data among their internal computer systems.,B,strengthen_weaken
pt1_s3_q16,1,3,LR,16,,Which one of the following can be inferred from the passage?,"If a business does not introduce variety into its computer operating systems,it will lose data on its computers because of damage from virus programs.","If a computer virus program is introduced into a business’computer, all of the data on that computer will be destroyed.","If a business introduces variety into its linked computer operating systems, it will have increased overall protection for its systems, but will not have protected every computer from viral invasion.","If a business does not have multiple, linked computer systems, its computers cannot be protected from computer viruses.","If minor variations are created in computer operating system software, it will be easier to access the data on the computers that use that software.",C,inference
